 13730-1        Tebo-ICT,  license #WeiChuang(CD)

 Board Outline Contour             INCH units               10-May-2019 14:39

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

    1.091       1.354       0.000
    1.091       2.024       0.000
    1.090       2.029       0.000
    1.088       2.033       0.000
    1.085       2.038       0.000
    1.081       2.041       0.000
    1.076       2.043       0.000
    1.071       2.043       0.000
    1.004       2.043       0.000
    0.999       2.044       0.000
    0.994       2.046       0.000
    0.990       2.049       0.000
    0.987       2.053       0.000
    0.985       2.058       0.000
    0.984       2.063       0.000
    0.984       2.063       0.000
    0.984       2.173       0.000
    0.985       2.178       0.000
    0.987       2.183       0.000
    0.990       2.187       0.000
    0.994       2.190       0.000
    0.999       2.192       0.000
    1.004       2.193       0.000
    1.004       2.193       0.000
    1.071       2.193       0.000
    1.076       2.194       0.000
    1.081       2.196       0.000
    1.085       2.199       0.000
    1.088       2.203       0.000
    1.090       2.208       0.000
    1.091       2.213       0.000
    1.091       2.421       0.000
    1.088       2.442       0.000
    1.080       2.461       0.000
    1.067       2.477       0.000
    1.051       2.489       0.000
    1.032       2.497       0.000
    1.012       2.500       0.000
    0.512       2.500       0.000
    0.491       2.497       0.000
    0.472       2.489       0.000
    0.456       2.477       0.000
    0.444       2.461       0.000
    0.436       2.442       0.000
    0.433       2.421       0.000
    0.433       0.394       0.000
    0.436       0.373       0.000
    0.444       0.354       0.000
    0.456       0.338       0.000
    0.472       0.326       0.000
    0.491       0.318       0.000
    0.512       0.315       0.000
    1.012       0.315       0.000
    1.032       0.318       0.000
    1.051       0.326       0.000
    1.067       0.338       0.000
    1.080       0.354       0.000
    1.088       0.373       0.000
    1.091       0.394       0.000
    1.091       0.429       0.000
    1.090       0.434       0.000
    1.088       0.439       0.000
    1.085       0.443       0.000
    1.081       0.446       0.000
    1.076       0.448       0.000
    1.071       0.449       0.000
    0.717       0.449       0.000
    0.711       0.449       0.000
    0.707       0.451       0.000
    0.703       0.455       0.000
    0.699       0.459       0.000
    0.698       0.463       0.000
    0.697       0.469       0.000
    0.698       0.474       0.000
    0.699       0.478       0.000
    0.703       0.482       0.000
    0.707       0.486       0.000
    0.711       0.488       0.000
    0.717       0.488       0.000
    0.717       0.941       0.000
    0.711       0.942       0.000
    0.707       0.944       0.000
    0.703       0.947       0.000
    0.699       0.951       0.000
    0.698       0.956       0.000
    0.697       0.961       0.000
    0.698       0.966       0.000
    0.699       0.970       0.000
    0.703       0.975       0.000
    0.707       0.978       0.000
    0.711       0.980       0.000
    0.717       0.980       0.000
    0.965       0.980       0.000
    0.970       0.981       0.000
    0.974       0.983       0.000
    0.978       0.986       0.000
    0.982       0.990       0.000
    0.984       0.995       0.000
    0.984       1.000       0.000
    0.984       1.315       0.000
    0.985       1.320       0.000
    0.987       1.325       0.000
    0.990       1.329       0.000
    0.994       1.332       0.000
    0.999       1.334       0.000
    1.004       1.335       0.000
    1.071       1.335       0.000
    1.076       1.335       0.000
    1.081       1.337       0.000
    1.085       1.340       0.000
    1.088       1.344       0.000
    1.090       1.349       0.000
    1.091       1.354       0.000
