 13730-1        Tebo-ICT,  license #WeiChuang(CD)

 Parts List              40/40  Selected Parts             10-May-2019 14:39
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'

R18           0.5640    1.2990  180.0  A1   (B)  'R402H16', 'R402H16'
R19           0.6000    1.2990  180.0  A1   (B)  'R402H16', 'R402H16'
R201          0.5600    1.9060    0.0  A1   (B)  'R402H16', 'R402H16'
R202          0.5920    1.9060    0.0  A1   (B)  'R402H16', 'R402H16'
R203          0.6660    1.5750    0.0  A1   (B)  'R402H16', 'R402H16'
R204          0.5510    1.5570  270.0  A1   (B)  'R402H16', 'R402H16'
R205          0.7710    1.9740    0.0  A1   (B)  'R402H16', 'R402H16'
R206          0.5670    1.6590  180.0  A1   (B)  'R402H16', 'R402H16'
R207          0.6030    1.6590  180.0  A1   (B)  'R402H16', 'R402H16'
R208          0.6870    1.9740    0.0  A1   (B)  'R402H16', 'R402H16'
R209          0.6170    1.5900  270.0  A1   (B)  'R402H16', 'R402H16'
R210          0.8570    1.8640  270.0  A1   (B)  'R402H14', 'R402H14'
R211          0.8570    1.8310  270.0  A1   (B)  'R402H14', 'R402H14'
R212          0.9540    1.7250    0.0  A1   (B)  'R603H22', 'R603H22'
C15           0.4950    0.6040  180.0  A1   (B)  'C402H20', 'C402H20'
C16           0.5280    0.6040  180.0  A1   (B)  'C402H22', 'C402H22'
C201          0.5290    1.9730    0.0  A1   (B)  'C402H22', 'C402H22'
C202          0.5620    1.9730    0.0  A1   (B)  'C402H22', 'C402H22'
C203          0.6130    1.9740    0.0  A1   (B)  'C402H22', 'C402H22'
C204          0.6170    1.5570  270.0  A1   (B)  'C402H22', 'C402H22'
C205          0.8940    1.9740    0.0  A1   (B)  'C402H22', 'C402H22'
C206          0.6540    1.9740  180.0  A1   (B)  'C402H22', 'C402H22'
C207          0.7320    1.6130  180.0  A1   (B)  'C402H22', 'C402H22'
C208          0.8610    1.9740    0.0  A1   (B)  'C402H22', 'C402H22'
C209          0.7650    1.6130  180.0  A1   (B)  'C402H22', 'C402H22'
C210          0.5510    1.5900   90.0  A1   (B)  'C402H22', 'C402H22'
C211          0.6990    1.6130  180.0  A1   (B)  'C402H22', 'C402H22'
TC1           0.8050    1.1730   90.0  A1   (B)  'CT3528H79', 'CT3528H79'
L3            0.5820    1.2990    0.0  A1   (B)  'L125100-4PH24', 'L125100-4PH24'
D1            0.5710    1.1610  270.0  A1   (B)  'SOT-6H58', 'SOT-6H58'
D201          0.9760    2.2510   90.0  A1   (B)  'D1608-UH28', 'D1608-UH28'
D202          0.9760    2.3080   90.0  A1   (B)  'D1608-UH28', 'D1608-UH28'
D203          0.7620    1.7250    0.0  A1   (B)  'SOT723-1D2-312H22', 'SOT723-1D2-312H22'
FP1           0.6929    1.8228    0.0  A1   (T)  'BGA33C120044H68', 'BGA33C120044H68'
FPCN1         0.8105    2.2244  270.0  A1   (B)  '51530-01041-W01', '51530-01041-W01'
USB4          0.7697    0.7146   90.0  A1   (B)  'SKT-USB8-171132-U', 'SKT-USB8-171132-U'
AFTP302       0.5160    0.6840  180.0  A1   (B)  'AFTE14P-75', 'AFTE14P-75'
AFTP303       0.5160    0.7590  180.0  A1   (B)  'AFTE14P-75', 'AFTE14P-75'
AFTP304       0.5160    0.8340  180.0  A1   (B)  'AFTE14P-75', 'AFTE14P-75'
AFTP305       0.5050    0.9150  180.0  A1   (B)  'AFTE14P-75', 'AFTE14P-75'
