 13730-1        Tebo-ICT,  license #WeiChuang(CD)

 Board Outline Contour             INCH units               10-May-2019 14:42

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

   -1.354       1.091       0.000
   -2.024       1.091       0.000
   -2.029       1.090       0.000
   -2.033       1.088       0.000
   -2.038       1.085       0.000
   -2.041       1.081       0.000
   -2.043       1.076       0.000
   -2.043       1.071       0.000
   -2.043       1.004       0.000
   -2.044       0.999       0.000
   -2.046       0.994       0.000
   -2.049       0.990       0.000
   -2.053       0.987       0.000
   -2.058       0.985       0.000
   -2.063       0.984       0.000
   -2.063       0.984       0.000
   -2.173       0.984       0.000
   -2.178       0.985       0.000
   -2.183       0.987       0.000
   -2.187       0.990       0.000
   -2.190       0.994       0.000
   -2.192       0.999       0.000
   -2.193       1.004       0.000
   -2.193       1.004       0.000
   -2.193       1.071       0.000
   -2.194       1.076       0.000
   -2.196       1.081       0.000
   -2.199       1.085       0.000
   -2.203       1.088       0.000
   -2.208       1.090       0.000
   -2.213       1.091       0.000
   -2.421       1.091       0.000
   -2.442       1.088       0.000
   -2.461       1.080       0.000
   -2.477       1.067       0.000
   -2.489       1.051       0.000
   -2.497       1.032       0.000
   -2.500       1.012       0.000
   -2.500       0.512       0.000
   -2.497       0.491       0.000
   -2.489       0.472       0.000
   -2.477       0.456       0.000
   -2.461       0.444       0.000
   -2.442       0.436       0.000
   -2.421       0.433       0.000
   -0.394       0.433       0.000
   -0.373       0.436       0.000
   -0.354       0.444       0.000
   -0.338       0.456       0.000
   -0.326       0.472       0.000
   -0.318       0.491       0.000
   -0.315       0.512       0.000
   -0.315       1.012       0.000
   -0.318       1.032       0.000
   -0.326       1.051       0.000
   -0.338       1.067       0.000
   -0.354       1.080       0.000
   -0.373       1.088       0.000
   -0.394       1.091       0.000
   -0.429       1.091       0.000
   -0.434       1.090       0.000
   -0.439       1.088       0.000
   -0.443       1.085       0.000
   -0.446       1.081       0.000
   -0.448       1.076       0.000
   -0.449       1.071       0.000
   -0.449       0.717       0.000
   -0.449       0.711       0.000
   -0.451       0.707       0.000
   -0.455       0.703       0.000
   -0.459       0.699       0.000
   -0.463       0.698       0.000
   -0.469       0.697       0.000
   -0.474       0.698       0.000
   -0.478       0.699       0.000
   -0.482       0.703       0.000
   -0.486       0.707       0.000
   -0.488       0.711       0.000
   -0.488       0.717       0.000
   -0.941       0.717       0.000
   -0.942       0.711       0.000
   -0.944       0.707       0.000
   -0.947       0.703       0.000
   -0.951       0.699       0.000
   -0.956       0.698       0.000
   -0.961       0.697       0.000
   -0.966       0.698       0.000
   -0.970       0.699       0.000
   -0.975       0.703       0.000
   -0.978       0.707       0.000
   -0.980       0.711       0.000
   -0.980       0.717       0.000
   -0.980       0.965       0.000
   -0.981       0.970       0.000
   -0.983       0.974       0.000
   -0.986       0.978       0.000
   -0.990       0.982       0.000
   -0.995       0.984       0.000
   -1.000       0.984       0.000
   -1.315       0.984       0.000
   -1.320       0.985       0.000
   -1.325       0.987       0.000
   -1.329       0.990       0.000
   -1.332       0.994       0.000
   -1.334       0.999       0.000
   -1.335       1.004       0.000
   -1.335       1.071       0.000
   -1.335       1.076       0.000
   -1.337       1.081       0.000
   -1.340       1.085       0.000
   -1.344       1.088       0.000
   -1.349       1.090       0.000
   -1.354       1.091       0.000
